编号,句子,实体1a,实体1b
2714,【环球网军事2月4日报道】俄罗斯卫星通讯社2月2日报道，俄罗斯专家表示，新的陆上高超音速中程导弹可以在“匕首”武器系统基础上加以建造，这项工作不需要大笔支出。,“匕首”武器系统,新的陆上高超音速中程导弹
2715,俄罗斯总统普京2月2日在会见俄外长拉夫罗夫与国防部长绍伊古时表示，针对美国退出《中导条约》的做法，俄罗斯将采取对等回应措施，也将暂时退出这一条约。普京指出，俄罗斯不应也不会卷入耗资巨大的军备竞赛。此外，他采纳了俄国防部长绍伊古的建议，同意让“口径”海基巡航导弹“登陆”，启动陆基中程高超音速导弹建造工程。,俄罗斯,陆基中程高超音速导弹建造工程
2716,曾参与制定中导条约的国防部国际条约局前局长叶夫根尼·布任斯基中将认为，可以将目前配置在米格-31K歼击机上的空基“匕首”导弹进行改进。,米格-31K歼击机,空基“匕首”导弹
2723,【环球网军事2月4日报道】据俄罗斯卫星新闻通讯社2月3日报道，伊朗伊斯兰革命卫队副司令侯赛因·萨拉米表示，欧洲不应试图剥夺伊朗发展导弹的权利。,伊朗,导弹
2724,萨拉米说：“如果欧洲人或其他任何人想要编造阴谋迫使伊朗放弃发展导弹，我们就将被迫做出战略突击。”他表示，伊朗“在发展导弹射程方面没有阻碍和技术障碍”。,伊朗,导弹射程
2725,美国和一系列西方国家批评伊朗发展导弹计划，认为这违反了联合国安理会决议。德黑兰则表示，完全有权研制这种武器。,伊朗,导弹
2726,西方媒体提醒，伊朗此前自愿同意将本国导弹射程限制在2000公里以内，但这一射程足以到达美国位于中东和以色列的基地。伊朗国防部长阿米尔·哈塔米此前宣布成功试射新型巡航导弹，击中1200公里外目标，导弹射程达到1350公里。,伊朗,新型巡航导弹
2728,【环球网军事2月4日报道】据《法兰克福汇报》2月3日报道，德国联邦议院建议俄罗斯在乌拉尔山脉以外部署新型的9M729导弹，因为这样的解决方案有助于挽救《中导条约》。,俄罗斯,新型的9M729导弹
2730,穆特岑尼赫专门指出，由于北约越来越密集地部署反导系统，令俄罗斯担心自己可能无法进行报复性打击。,北约,反导系统
2731,此外，议员们还强调，作为对美国在罗马尼亚做法的回应，俄罗斯会检查自己的拦截导弹。,俄罗斯,拦截导弹
2732,此前，俄罗斯总统普京称，俄罗斯会对美国退出《中导条约》作出对等回应。普京称，俄罗斯不打算卷入军备竞赛。普京还补充称，所有裁减军备的提案“都还在桌面上，大门是敞开的”。,美国,《中导条约》
2733,昨天，俄罗斯防长谢尔盖·绍伊古建议开始在地面上使用“口径”海基导弹发射器和建造中短程高超音速弹道导弹地面系统的工作。据他介绍，这将是俄罗斯对美国研发实际上已经违反了《中导条约》规定的导弹的回应。,俄罗斯,“口径”海基导弹发射器
2734,美国从2月2日起开始了退出《中导条约》的程序。“如果俄罗斯没有恢复遵守协议，销毁自己的所有导弹、发射器和违反条约规定的相关设备”，那么这个退出过程将在半年后完成。美国领导层称，俄罗斯的9M729导弹违反条约条款。,美国,《中导条约》
2742,1月11日，美国代理国防部长帕特里克·沙纳汉批准了此次军事部署，部署将持续90天。2018年10月，五角大楼首次批准向墨西哥边境部署现役部队;11月，中期选举紧随其后。,五角大楼,现役部队
2746,美国政府高级代表1日表示，美国计划在欧洲部署的中程导弹将不携带核弹头。美俄可供部署的现成导弹有哪些呢？《中导条约》只禁止了最大射程为500到5500公里的陆基弹道导弹和巡航导弹，却没有限制海基和空基导弹的研制，美俄双方都抓住了这个漏洞。美国海空军不少巡航导弹都在《中导条约》涵盖的限制范围内，例如美海军“战斧”巡航导弹射程为1500公里;空军AGM-86C空射巡航导弹射程超过1000公里，新研制的AGM-158B“联合防区外空地导弹”射程也接近1000公里。,美国,中程导弹
2747,美军的这些导弹理论上都能发展陆基型号，尤其是美国在欧洲部署的“陆基宙斯盾”反导系统兼容“战斧”巡航导弹，只需要将后者装填入垂直发射系统，实际就已完成陆基中程巡航导弹的部署，甚至不需要对“战斧”进行任何改装。俄外长拉夫罗夫2日表示，美国2014年在欧洲部署的反导系统垂直发射装置直接违反《中导条约》，当前罗马尼亚已经部署了该装置，美军还计划在波兰部署。而空基巡航导弹只需要增加一款助推器，略微改进弹体和弹翼，也能很快将其改为陆基巡航导弹。,美国,“陆基宙斯盾”反导系统
2748,至于《中导条约》限制的弹道导弹，美国也早有准备。据俄卫星网1日报道，俄副外长谢尔盖·里亚布科夫透露，俄方早已发现美国借口测试反导系统，却在悄悄研制中程弹道导弹。“美国测试反导系统时会发射中程弹道导弹作为靶弹，但经常并不拦截，只是使用雷达对该导弹进行追踪。这些遥测数据可以用来完善美国的中程弹道导弹。”,美国,中程弹道导弹
2749,俄罗斯的情况也与美国类似，海基“口径”系列巡航导弹和空基的Kh-55和Kh-101巡航导弹都可以改装为陆基型号，最直接的方法是为“口径”巡航导弹配备发射车，或者修改现有发射车设计，将“口径”巡航导弹配备到“伊斯坎德尔”系统中去。俄总统普京2日已经采纳俄防长绍伊古的建议，同意让“口径”海基巡航导弹“登陆”。该导弹的射程约为2500公里，2015年10月7日首次在叙利亚投入实战。,“伊斯坎德尔”系统,“口径”巡航导弹
2751,显而易见的是，如果美俄当真退出《中导条约》，双方陆基中远程导弹的研制必然会加速。被《中导条约》束缚已久的美国陆军早就希望采用全新的技术武装自己的导弹库。美陆军认为，同海空军相比，陆军中远程火力平台可以隐藏在地下或公路隧道，战场隐蔽性更强，使用更廉价。此外，这将使美陆军从过去给海空军打下手的角色，提升为平起平坐的协作伙伴。,美俄,《中导条约》
2752,早在美国声称退出《中导条约》之前，美陆军就已启动新型中程导弹的研制计划。据美国《防务快讯》网站去年9月报道，美陆军正在发展一种射程达1000英里的新型中程高超音速导弹，该导弹可以摧毁敌军指挥所等关键目标。此外，美陆军还在“远程精确火力”项目下发展另一种战略远程火炮，它使用低成本的“超音速炮射导弹”，射程也达到1000英里。,美陆军,新型中程高超音速导弹
2753,美国《航空周刊与空间技术》网站提到，美国陆军计划在2022年前列装“远程高超音速”导弹。按照美军对弹道导弹标准的界定，“远程”导弹射程不超过5500公里，意味着该导弹应该也在《中导条约》的限制范围内。,美国陆军,“远程高超音速”导弹
2754,相比之下，除了西方所谓“射程超过2000公里的9M729巡航导弹”，俄罗斯此前还没有公开的新型陆基中远程导弹计划。这更多是因为俄罗斯在美国附近缺少基地，想从俄本土直接攻击美国，就必须发展洲际射程的导弹，俄军去年公布的“先锋”高超音速导弹和“海燕”核动力巡航导弹均属此列。不过对于已经掌握相关技术的俄罗斯而言，研制一款全新的中程高超音速导弹也并非难事。俄卫星网称，普京2日同意启动陆基中程高超音速导弹建造工程，“两年内就会得到样本导弹”。,俄军,“先锋”高超音速导弹和“海燕”核动力巡航导弹
2757,不过美军对于发展新一代陆基高超音速中远程导弹却有更大兴趣。陆基导弹不像海空军那样对导弹体积有苛刻的限制，因此它可以携带更大的战斗部，速度也比较快，突防能力就更强。当年美苏签署《中导条约》时，对苏联威胁最大的导弹是“潘兴II”中程弹道导弹。这种导弹精度非常高，而且给苏联预警系统留下的反应时间短，甚至可以摧毁莫斯科的地下加固指挥所。如果美国发展新型的远程高超音速武器系统，其准确性更高、更难以拦截，对俄罗斯等大国构成更大威胁。▲(本报特约记者 章 节 本报记者 马 俊),美军,新一代陆基高超音速中远程导弹
2759,【环球网军事综合报道】美国国务卿蓬佩奥2月1日宣布，美将从2日起暂停履行《中导条约》，同时启动为期半年的退出条约程序。俄罗斯总统普京2日表示，俄作为回应也暂停执行《中导条约》，并不会再首先提出削减武器的建议。普京还说，由于美国正在进行(新武器)研发和试验设计工作，俄罗斯也将采取相应行动。,美,《中导条约》
2762,美苏当年在冷战后期达成一系列军控协议，不仅一定程度上抑制了军备竞赛，而且产生了安抚人心的政治效果。美国退出《中导条约》将让整个人类对21世纪的预期产生一个重大消极参数。,美国,《中导条约》
2769,对中国来说，最直接的负面影响可能有两个。一是华盛顿已经动了将美俄《中导条约》多边化的念头，这种念头有可能成为美向中国施压新的动因。二是美失去条约约束后，估计会变本加厉地在中国周边部署攻击性导弹力量和反导系统，进一步增加中国战略安全的挑战。,美,攻击性导弹力量和反导系统
2773,埃及军方发言人塔梅尔·里法伊在声明中说，根据国家安全部门提供的可靠情报，埃及军方在确定恐怖分子准确位置后对目标实施了空中打击。此次打击还摧毁了恐怖组织3辆载有武器弹药的卡车。,埃及军方,空中打击
2775,近年来，埃及反恐形势严峻。2018年2月，埃及军方开始实施“西奈2018”反恐行动。截至2018年年底，埃及军方在行动中打死约450名恐怖分子。,埃及军方,“西奈2018”反恐行动
2792,新华社莫斯科2月2日电(记者刘洋)俄罗斯总统普京2日宣布，俄暂停履行《中导条约》义务。,俄,《中导条约》
